id;email_type;email;person_id
1;typ30;aa1@abv.com;1
2;typ29;aa2@abv.com;2
3;typ28;aa3@abv.com;3
4;typ27;aa4@abv.com;4
5;typ26;aa5@abv.com;5
6;typ25;aa6@abv.com;6
7;typ24;aa7@abv.com;7
8;typ23;aa8@abv.com;8
9;typ22;aa9@abv.com;9
10;typ21;aa10@abv.com;10
11;typ20;aa11@abv.com;11
12;typ19;aa12@abv.com;12
13;typ18;aa13@abv.com;1
14;typ17;aa14@abv.com;2
15;typ16;aa15@abv.com;3
16;typ15;aa16@abv.com;4
17;typ14;aa17@abv.com;5
18;typ13;aa18@abv.com;6
19;typ12;aa19@abv.com;7
20;typ11;aa20@abv.com;8
21;typ10;aa21@abv.com;9
22;typ9;aa22@abv.com;10
23;typ8;aa23@abv.com;11
24;typ7;aa24@abv.com;12
25;typ6;aa25@abv.com;13
26;typ5;aa26@abv.com;14
27;typ4;aa27@abv.com;15
28;typ3;aa28@abv.com;2
29;typ2;aa29@abv.com;3
30;typ1;aa30@abv.com;4
